Date,Week,Tm,,Opp,Result,Qtr,Time,LOS,Play Summary,Punt distance (gross),Pts,Downed method,Pts,Punt ended at,Pts,Bonus,Pts,TUPA score,,TUPA Scoring Key,Points
2021-12-23,16,SFO,@,TEN,L 20-17,4,5:18,Own 5,74 TUPA = Brett Kern of the Titans punts 59 yards (59) downed by Racey McMath (5) at the 5-yard line (10).,59,59,Touched on the ground,5,5,10,None,0,74,,,
2021-09-26,3,BAL,@,DET,W 19-17,1,12:57,Own 4,Jack Fox of the Lions punts 48 yards (48) downed by KhaDarel Hodge (5) at the 4-yard line (20).        ,48,48,Caught on the bounce,5,4,20,None,0,73,,Inside your own 40,-30
2021-09-26,3,NYG,,ATL,L 17-14,2,3:42,Own 3,Cameron Nizialek of the Falcons punts 37 yards (37) downed by Cordarrelle Patterson (5) at the 3-yard line (30).      ,37,37,Caught on the bounce,5,3,30,None,0,72,,Safety allowed,-40
2021-10-17,6,MIA,@,JAX,L 23-20,2,2:05,Own 3,Logan Cooke of the Jaguars punts 37 yards (37) downed by Rudy Ford (5) at the 3-yard line (30).,37,37,Caught on the bounce,5,3,30,None,0,72,,,
2021-10-24,7,WAS,@,GNB,L 24-10,4,2:03,Own 3,Corey Bojorquez of the Packers punts 37 yards (37) downed by Isaac Yiadom (5) at the 3-yard line (30).,37,37,Caught on the bounce,5,3,30,None,0,72,,,
2021-11-21,11,ARI,@,SEA,W 23-13,2,12:39,Own 5,Michael Dickson of the Seahawks punts 42 yards (42) out of bounds (20) at the 5-yard line (10). ,42,42, Out of bounds / Coffin corner,20,5,10,None,0,72,,,
2021-11-25,12,DET,,CHI,L 16-14,1,5:17,Own 4,"Pat O'Donnell of the Bears punts 47 yards (47). Jerry Jacobs of the Lions fumbled, then recovered (5) at the 4-yard line (20).",47,47,Touched on the ground,5,4,20,None,0,72,,,
2021-09-12,1,TEN,,ARI,L 38-13,4,1:55,Own 3,Andy Lee of the Cardinals punts 36 yards (36) downed by Charles Washington (5) at the 3-yard line (30).,36,36,Touched on the ground,5,3,30,None,0,71,,2-yard line ,40
2021-10-17,6,KAN,@,WAS,W 31-13,4,10:32,Own 4,Tress Way of WFT punts 51 yards (51). Fair caught by Mecole Hardman at the 4-yard line (20).,51,51,Fair caught by the other team,0,4,20,None,0,71,,,
2021-11-21,11,DAL,@,KAN,L 19-9,4,2:35,Own 3,Kicker (5) Harrison Butker punts 31 yards (31) downed by Nick Allegretti (5) at the 3-yard line (30).,31,31,Touched on the ground,5,3,30,Punted by a kicker,5,71,,,
2021-11-14,10,BUF,@,NYJ,W 45-17,2,10:51,Own 4,Braden Mann of the Jets punts 45 yards (45) downed by Jeff Smith (5) at the 4-yard line (20).,45,45,Caught on the bounce,5,4,20,None,0,70,,,
